id,action_time,object_id,object_repr,action_flag,change_message,content_type_id,user_id
1,2020-07-13 18:10:44,1,Somikoron Special,1,"[{""added"": {}}]",14,1
2,2020-07-13 18:11:01,2,Covid-19 Special,1,"[{""added"": {}}]",14,1
3,2020-07-13 18:12:01,3,Food & Groceries,1,"[{""added"": {}}]",14,1
4,2020-07-13 18:12:38,4,Health & Care,1,"[{""added"": {}}]",14,1
5,2020-07-13 18:13:03,5,Breakfast & Snacks,1,"[{""added"": {}}]",14,1
6,2020-07-13 18:13:21,6,Beverage,1,"[{""added"": {}}]",14,1
7,2020-07-13 18:14:34,1,Organic Zone (Food & Groceries),1,"[{""added"": {}}]",18,1
8,2020-07-13 18:14:49,2,Rice (Food & Groceries),1,"[{""added"": {}}]",18,1
9,2020-07-13 18:15:16,3,Oil & Ghee (Food & Groceries),1,"[{""added"": {}}]",18,1
10,2020-07-13 18:15:25,4,Salt & Spice (Food & Groceries),1,"[{""added"": {}}]",18,1
11,2020-07-13 18:15:36,5,Dal (Food & Groceries),1,"[{""added"": {}}]",18,1
12,2020-07-13 18:15:52,6,Sugar (Food & Groceries),1,"[{""added"": {}}]",18,1
13,2020-07-13 18:16:03,7,Shemai & Suji (Food & Groceries),1,"[{""added"": {}}]",18,1
14,2020-07-13 18:16:21,8,Ready Mix Foods (Food & Groceries),1,"[{""added"": {}}]",18,1
15,2020-07-13 18:18:14,9,Bath (Health & Care),1,"[{""added"": {}}]",18,1
16,2020-07-13 18:18:23,10,Facial & Skin Care (Health & Care),1,"[{""added"": {}}]",18,1
17,2020-07-13 18:18:42,11,Shampoo (Health & Care),1,"[{""added"": {}}]",18,1
18,2020-07-13 18:18:53,12,Handwash (Health & Care),1,"[{""added"": {}}]",18,1
19,2020-07-13 18:20:21,13,Noodles and Macaroni (Breakfast & Snacks),1,"[{""added"": {}}]",18,1
20,2020-07-13 18:20:51,14,Local BreakFast & Snacks (Breakfast & Snacks),1,"[{""added"": {}}]",18,1
21,2020-07-13 18:21:04,15,Soup (Breakfast & Snacks),1,"[{""added"": {}}]",18,1
22,2020-07-13 18:21:13,16,Chips & Biscuits (Breakfast & Snacks),1,"[{""added"": {}}]",18,1
23,2020-07-13 18:22:21,17,Chocolate & Jam (Breakfast & Snacks),1,"[{""added"": {}}]",18,1
24,2020-07-13 18:22:36,18,Tea & Coffee (Beverage),1,"[{""added"": {}}]",18,1
25,2020-07-13 18:22:51,19,Soft Drinks (Beverage),1,"[{""added"": {}}]",18,1
26,2020-07-13 18:23:04,20,Juice & Water (Beverage),1,"[{""added"": {}}]",18,1
27,2020-07-13 18:23:12,21,Powder Drinks (Beverage),1,"[{""added"": {}}]",18,1
28,2020-07-13 18:54:46,2,Covid-19 Defense,2,"[{""changed"": {""fields"": [""Category name""]}}]",14,1
29,2020-07-13 18:56:40,7,Cattle Shop,1,"[{""added"": {}}]",14,1
30,2020-07-13 19:29:16,1,Somikoron,1,"[{""added"": {}}]",16,1
31,2020-07-13 19:32:05,p001,p001 Test Product,1,"[{""added"": {}}, {""added"": {""name"": ""item details"", ""object"": ""Test Product""}}]",15,1
32,2020-07-13 19:33:36,p001,p001 Test Product,3,,15,1
33,2020-07-13 19:42:15,S_GR0001,S_GR0001 PRAN Chinigura Rice (1 kg),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""1 PRAN Chinigura Rice (1 kg)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Chinigura Rice (1 kg)""}}]",15,1
34,2020-07-13 19:43:49,S_GR0001,S_GR0001 PRAN Chinigura Rice (1 kg),2,"[{""changed"": {""name"": ""item details"", ""object"": ""PRAN Chinigura Rice (1 kg)"", ""fields"": [""Discount offer""]}}]",15,1
35,2020-07-13 19:50:32,S_GR0001,S_GR0001 PRAN Chinigura Rice (1 kg),2,"[{""changed"": {""name"": ""item details"", ""object"": ""PRAN Chinigura Rice (1 kg)"", ""fields"": [""Unit""]}}]",15,1
36,2020-07-13 19:50:57,1,Order object (1),3,,20,1
37,2020-07-13 19:53:02,S_GR0002,S_GR0002 PRAN Chinigura Rice (2 kg),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""2 PRAN Chinigura Rice (2 kg)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Chinigura Rice (2 kg)""}}]",15,1
38,2020-07-13 20:03:20,S-GR0003,S-GR0003 PRAN Chinigura Rice (5 kg),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""3 PRAN Chinigura Rice (5 kg)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Chinigura Rice (5 kg)""}}]",15,1
39,2020-07-13 20:07:09,S_GR0004,S_GR0004 PRAN Minicate (5 kg),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""4 PRAN Minicate (5 kg)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Minicate (5 kg)""}}]",15,1
40,2020-07-13 20:08:27,S_GR0002,S_GR0002 PRAN Chinigura Rice (2 kg),2,"[{""changed"": {""fields"": [""Item owner""]}}]",15,1
41,2020-07-13 20:08:50,S-GR0003,S-GR0003 PRAN Chinigura Rice (5 kg),2,"[{""changed"": {""fields"": [""Item owner""]}}]",15,1
42,2020-07-13 20:10:39,S_GR0005,S_GR0005 PRAN Mushur Daal (500gm),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""5 PRAN Mushur Daal (500gm)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Mushur Daal (500gm)""}}]",15,1
43,2020-07-13 20:14:42,S_GR0006,S_GR0006 PRAN Mushur Daal (1 Kg),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""6 PRAN Mushur Daal (1 Kg)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Mushur Daal (1 Kg)""}}]",15,1
44,2020-07-13 20:15:35,S_GR0005,S_GR0005 PRAN Mushur Daal (500gm),2,"[{""changed"": {""name"": ""item details"", ""object"": ""PRAN Mushur Daal (500gm)"", ""fields"": [""Discount offer""]}}]",15,1
45,2020-07-13 20:15:45,S_GR0006,S_GR0006 PRAN Mushur Daal (1 Kg),2,"[{""changed"": {""fields"": [""Item owner""]}}]",15,1
46,2020-07-13 20:17:04,S_GR0007,S_GR0007 PRAN Mung Daal (500gm),1,"[{""added"": {}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Mung Daal (500gm)""}}]",15,1
47,2020-07-13 20:18:47,S_GR0007,S_GR0007 PRAN Mung Daal (500gm),2,"[{""added"": {""name"": ""item images"", ""object"": ""7 PRAN Mung Daal (500gm)""}}]",15,1
48,2020-07-13 20:25:03,S_GR0008,S_GR0008 PRAN Mung Daal (1 Kg),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""8 PRAN Mung Daal (1 Kg)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Mung Daal (1 Kg)""}}]",15,1
49,2020-07-13 20:32:41,S_GR0009,S_GR0009 PRAN Hot Tomato Sauce (550 gm),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""9 PRAN Hot Tomato Sauce (550 gm)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Hot Tomato Sauce (550 gm)""}}]",15,1
50,2020-07-13 20:37:26,S_GR0010,S_GR0010 PRAN Hot Tomato Sauce (1000 gm),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""10 PRAN Hot Tomato Sauce (1000 gm)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Hot Tomato Sauce (1000 gm)""}}]",15,1
51,2020-07-13 20:41:14,S_GR0011,S_GR0011 PRAN Mustard Oil (500gm),1,"[{""added"": {}}, {""added"": {""name"": ""item images"", ""object"": ""11 PRAN Mustard Oil (500gm)""}}, {""added"": {""name"": ""item details"", ""object"": ""PRAN Mustard Oil (500gm)""}}]",15,1
