id,app,name,applied
1,contenttypes,0001_initial,2020-07-13 17:43:55
2,auth,0001_initial,2020-07-13 17:43:56
3,account,0001_initial,2020-07-13 17:43:59
4,account,0002_email_max_length,2020-07-13 17:43:59
5,admin,0001_initial,2020-07-13 17:43:59
6,admin,0002_logentry_remove_auto_add,2020-07-13 17:44:00
7,admin,0003_logentry_add_action_flag_choices,2020-07-13 17:44:00
8,contenttypes,0002_remove_content_type_name,2020-07-13 17:44:00
9,auth,0002_alter_permission_name_max_length,2020-07-13 17:44:00
10,auth,0003_alter_user_email_max_length,2020-07-13 17:44:00
11,auth,0004_alter_user_username_opts,2020-07-13 17:44:00
12,auth,0005_alter_user_last_login_null,2020-07-13 17:44:00
13,auth,0006_require_contenttypes_0002,2020-07-13 17:44:00
14,auth,0007_alter_validators_add_error_messages,2020-07-13 17:44:00
15,auth,0008_alter_user_username_max_length,2020-07-13 17:44:00
16,auth,0009_alter_user_last_name_max_length,2020-07-13 17:44:00
17,auth,0010_alter_group_name_max_length,2020-07-13 17:44:00
18,auth,0011_update_proxy_permissions,2020-07-13 17:44:00
19,sessions,0001_initial,2020-07-13 17:44:01
20,shop,0001_initial,2020-07-13 17:44:04
21,sites,0001_initial,2020-07-13 17:44:07
22,sites,0002_alter_domain_unique,2020-07-13 17:44:07
23,socialaccount,0001_initial,2020-07-13 17:44:08
24,socialaccount,0002_token_max_lengths,2020-07-13 17:44:09
25,socialaccount,0003_extra_data_default_dict,2020-07-13 17:44:09
26,shop,0002_auto_20200713_2001,2020-07-13 20:01:45
27,shop,0003_order_order_status,2020-07-17 09:50:53
28,shop,0004_auto_20200718_1412,2020-07-18 14:13:29
29,shop,0005_auto_20200718_1639,2020-07-18 16:40:04
30,shop,0006_auto_20200719_1925,2020-07-19 21:03:04
31,dashboard,0001_initial,2020-07-20 02:33:30
32,jet,0001_initial,2020-07-20 02:33:31
33,jet,0002_delete_userdashboardmodule,2020-07-20 02:33:31
34,shop,0007_address_customer_phone,2020-07-20 07:44:07
35,shop,0008_auto_20200720_1954,2020-07-20 19:54:57
36,shop,0009_auto_20200721_0423,2020-07-21 04:23:55
37,shop,0010_auto_20200722_0137,2020-07-22 01:38:15
