id,height,live_weight,expected_weight,Breed,item_id
1,"5'8""",1030.0,1030.0,অষ্ট্রেলিয়ান ক্রস,S_FA002
2,"4'10""",682.0,,অষ্ট্রেলিয়ান,S_FA003
3,"5'5""",630.0,,অষ্ট্রেলিয়ান,S_FA004
4,"4'10""",645.0,,অষ্ট্রেলিয়ান,S_FA005
5,"5'6""",570.0,,অষ্ট্রেলিয়ান,S_FA009
6,"5'10""",550.0,,অষ্ট্রেলিয়ান,S_FA010
9,"5'5""",515.0,,অষ্ট্রেলিয়ান,S_FA011
10,"5'4""",600.0,,সিন্ধি,S_FA026
11,"5'4""",580.0,,সিন্ধি,S_FA035
18,"4'7""",395.0,,সিন্ধি,S_FA107
20,"4'10""",450.0,,সিন্ধি,S_FA112
21,"4'10""",460.0,,সিন্ধি,S_FA113
22,"4'10""",470.0,,সিন্ধি,S_FA115
23,"3'9""",430.0,,সিন্ধি,S_FA116
24,"4'8""",432.0,,সিন্ধি,S_FA117
25,"4'9""",445.0,,সিন্ধি,S_FA118
26,"4'10""",465.0,,সিন্ধি,S_FA119
27,"4'8""",440.0,,সিন্ধি,S_FA121
28,5',460.0,,নেপালি,S_FA122
29,5',470.0,,নেপালি,S_FA123
30,"4'8""",415.0,,সিন্ধি,S_FA126
31,"4'8""",400.0,,সিন্ধি,S_FA128
32,"5'4""",590.0,,অষ্ট্রেলিয়ান ক্রস,S_FA134
33,5',535.0,,সিন্ধি,S_FA135
34,"4'11""",425.0,,নেপালি,S_FA124
35,"4'10""",485.0,,সিন্ধি,S_FA136
36,"4'10""",445.0,,সিন্ধি,S_FA137
43,"5'7""",588.0,,ইন্ডিয়ান বেইল,S_FA149
44,"5'5""",530.0,,ইন্ডিয়ান বেইল,S_FA150
46,"5'3""",510.0,,ইন্ডিয়ান বেইল,S_FA154
49,"4'8""",472.0,,সিন্ধি,S_FA157
51,"4'10""",402.0,,সিন্ধি,S_FA160
58,"4'7""",380.0,,সিন্ধি,S_FA171
63,5',420.0,,সিন্ধি,S_FA220
64,4',344.0,,মহিষ,S_FA226
65,4',335.0,,মহিষ,S_FA227
66,,330.0,,দেশী,S_PA0020
67,,320.0,,দেশী,S_PA0022
68,,320.0,,দেশী,S_PA0023
69,,380.0,,দেশী,S_PA0026
70,,380.0,,দেশী,S_PA0027
71,,425.0,,দেশী,S_PA0030
72,,345.0,,ফ্রিজিয়ান ক্রস,S_PA0032
73,,345.0,,দেশী,S_PA0033
74,,315.0,,দেশী,S_PA0035
75,,380.0,,দেশী,S_PA0036
76,,330.0,,দেশী,S_K0201
77,,310.0,,দেশী,S_K0202
79,,503.0,,দেশী,S_K0301
80,,360.0,,দেশী,S_K0403
81,,374.0,,দেশী,S_K0501
82,,308.0,,দেশী,S_K0601
83,,360.0,,দেশী,S_K0602
84,,295.0,,দেশী,S_K0603
85,,275.0,,দেশী,S_K0604
86,,410.0,,দেশী,S_K0701
87,,480.0,,দেশী,S_K0801
88,,150.0,,দেশী,S_K0901
89,,170.0,,দেশী,S_K0902
90,,218.0,,দেশী,S_K1203
91,,196.0,,দেশী,S_K1304
92,,213.0,,দেশী,S_K1405
93,,192.0,,দেশী,S_K1501
94,,170.0,,দেশী,S_K1502
95,,195.0,,দেশী,S_K1601
96,,229.0,,দেশী,S_K1602
97,,280.0,,দেশী,S_K1701
98,,354.0,,দেশী,S_K1702
99,,548.0,,দেশী,S_K1801
