id,discount_offer,color,size,unit,stock_quantity,update_date,total_views,additional_info,slug,item_id
2,3.0,,1 kg,KG,20,2020-07-13 19:50:32,0,,S_GR0001,S_GR0001
3,5.0,,2 kg,1,20,2020-07-13 19:53:02,0,,S_GR0002,S_GR0002
4,20.0,,5 kg,1,20,2020-07-13 20:03:20,0,,S-GR0003,S-GR0003
5,5.0,,5 kg,1,20,2020-07-13 20:07:09,0,,S_GR0004,S_GR0004
6,5.0,,500gm,1,20,2020-07-13 20:15:35,0,,S_GR0005,S_GR0005
7,20.0,,1 kg,1,20,2020-07-19 10:27:09,0,,S_GR0006,S_GR0006
8,2.0,,500gm,1,20,2020-07-13 20:17:04,0,,S_GR0007,S_GR0007
9,5.0,,1 kg,1,20,2020-07-13 20:25:03,0,,S_GR0008,S_GR0008
10,1.0,,500gm,1,20,2020-07-13 20:32:41,0,,S_GR0009,S_GR0009
11,1.0,,1000gm,1,20,2020-07-13 20:37:26,0,,S_GR0010,S_GR0010
12,3.0,,500ml,1,20,2020-07-13 20:48:49,0,,S_GR0011,S_GR0011
13,1.0,,1000ml,1,20,2020-07-13 20:47:05,0,,S_GR0012,S_GR0012
14,1.0,,200gm,1,20,2020-07-13 20:54:26,0,,S_GR0013,S_GR0013
15,18.0,,500gm,1,20,2020-07-13 21:06:47,0,,S_GR0014,S_GR0014
16,2.0,,200gm,1,20,2020-07-13 21:09:45,0,,S_GR0015,S_GR0015
17,3.0,,500gm,1,20,2020-07-13 21:12:19,0,,S_GR0016,S_GR0016
18,3.0,,200gm,1,20,2020-07-13 21:17:20,0,,S_GR0017,S_GR0017
19,2.0,,200gm,1,20,2020-07-13 21:20:18,0,,S_GR0018,S_GR0018
20,2.0,,5 Pack,1,20,2020-07-13 21:24:37,0,,S_GR0019,S_GR0019
21,2.0,,8 pack,1,20,2020-07-13 21:26:54,0,,S_GR0020,S_GR0020
22,0.0,,40ml,1,10,2020-07-21 06:27:57,0,,S_SF001,S_SF001
23,0.0,,200ml,1,10,2020-07-21 06:26:36,0,,S_SF002,S_SF002
24,0.0,,,1,100,2020-07-22 14:15:53,0,,S_SF003,S_SF003
25,0.0,,500ml,1,0,2020-07-22 05:20:12,0,,S_SF004,S_SF004
27,0.0,,200ml,1,0,2020-07-22 12:20:43,0,,S_SF006,S_SF006
28,0.0,,200ml,1,0,2020-07-22 12:19:57,0,,S_SF007,S_SF007
29,0.0,,170ml,1,0,2020-07-22 12:19:40,0,,S_SF008,S_SF008
30,0.0,,200ml,1,10,2020-07-22 12:19:27,0,,S_SF009,S_SF009
31,0.0,,170ml,1,0,2020-07-22 12:19:09,0,,S_SF010,S_SF010
32,0.0,,200ml,1,0,2020-07-22 12:18:43,0,,S_SF011,S_SF011
33,0.0,,300ml,1,5,2020-07-21 06:25:41,0,,S_SF012,S_SF012
34,100.0,,,1,500,2020-07-23 19:24:40,0,,S_SF013,S_SF013
35,50.0,,,1,500,2020-07-21 07:27:45,0,,S_SF014,S_SF014
36,0.0,,,1,100,2020-07-13 22:33:11,0,,S_SF015,S_SF015
37,0.0,,,1,100,2020-07-13 22:37:41,0,,S_SF016,S_SF016
38,0.0,,,1,100,2020-07-13 22:39:58,0,,S_SF017,S_SF017
39,0.0,,,1,100,2020-07-13 22:45:38,0,,S_SF018,S_SF018
40,0.0,,,1,100,2020-07-13 22:48:30,0,,S_SF019,S_SF019
41,0.0,,,1,100,2020-07-13 22:50:23,0,,S_SF020,S_SF020
42,100.0,,,1,100,2020-07-13 22:55:54,0,,S_SF021,S_SF021
43,50.0,,,1,100,2020-07-13 22:56:51,0,,S_SF022,S_SF022
44,100.0,,,1,100,2020-07-13 22:57:53,0,,S_SF023,S_SF023
45,50.0,,,1,100,2020-07-13 22:59:31,0,,S_SF024,S_SF024
46,50.0,,,1,100,2020-07-13 23:00:35,0,,S_SF025,S_SF025
47,0.0,,1 kg,1,20,2020-07-14 17:10:04,0,,S_GR0021,S_GR0021
48,5.0,,1000 ml,1,20,2020-07-14 17:12:49,0,,S_GR0022,S_GR0022
49,0.0,,2 litre,1,20,2020-07-14 17:17:13,0,,S_GR0023,S_GR0023
50,0.0,,5 litre,1,20,2020-07-14 17:29:33,0,,S_GR0024,S_GR0024
51,2.0,,1 kg,1,20,2020-07-14 17:30:39,0,,S_GR0025,S_GR0025
52,0.0,,200gm,1,20,2020-07-14 17:33:27,0,,S_GR0026,S_GR0026
53,0.0,,400gm,1,20,2020-07-14 17:35:24,0,,S_GR0027,S_GR0027
54,0.0,,400gm,1,20,2020-07-14 17:38:16,0,,S_GR0028,S_GR0028
55,3.0,,1 kg,1,20,2020-07-14 17:41:13,0,,S_GR0029,S_GR0029
56,0.0,,200gm,1,20,2020-07-14 17:44:11,0,,S_GR0030,S_GR0030
57,0.0,,200gm,1,20,2020-07-14 17:47:19,0,,S_GR0031,S_GR0031
58,2.0,,200gm,1,20,2020-07-14 17:50:29,0,,S_GR0032,S_GR0032
59,0.0,,200gm,1,20,2020-07-14 17:55:54,0,,S_GR0033,S_GR0033
60,0.0,,1 kg,1,20,2020-07-14 17:58:59,0,,S_GR0034,S_GR0034
61,0.0,,1 kg,1,20,2020-07-14 18:09:39,0,,S_GR0035,S_GR0035
62,0.0,,2 kg,1,20,2020-07-14 18:17:48,0,,S_GR0036,S_GR0036
63,2.0,,2 kg,1,20,2020-07-14 18:22:00,0,,S_GR0037,S_GR0037
64,2.0,,2 kg,1,20,2020-07-14 18:25:20,0,,S_GR0038,S_GR0038
65,0.0,,500gm,1,20,2020-07-14 18:27:51,0,,S_GR0039,S_GR0039
66,5.0,,1 kg,1,20,2020-07-14 18:30:15,0,,S_GR0040,S_GR0040
67,0.0,,700gm,1,20,2020-07-14 19:49:16,0,,S_GR0041,S_GR0041
68,5.0,,350gm,1,20,2020-07-14 19:51:28,0,,S_GR0042,S_GR0042
69,0.0,,50gm,1,20,2020-07-14 19:54:29,0,,S_GR0043,S_GR0043
70,0.0,,24 gm,1,20,2020-07-14 19:57:19,0,,S_GR0044,S_GR0044
71,0.0,,"13*13,1 ply 80 pcs",1,20,2020-07-14 19:59:37,0,,S_GR0045,S_GR0045
72,0.0,,,1,20,2020-07-14 20:04:35,0,,S_GR0046,S_GR0046
73,0.0,,1 kg,1,20,2020-07-14 20:05:51,0,,S_GR0047,S_GR0047
74,0.0,,2 kg,1,20,2020-07-14 20:07:39,0,,S_GR0048,S_GR0048
75,2.0,,2 kg,1,20,2020-07-14 20:09:15,0,,S_GR0049,S_GR0049
76,10.0,,250 gm,1,20,2020-07-14 20:13:05,0,,S_HB01,S_HB01
77,20.0,,500gm,1,20,2020-07-14 20:15:49,0,,S_HB02,S_HB02
78,50.0,,1 kg,1,20,2020-07-14 20:16:55,0,,S_HB03,S_HB03
79,10.0,,250 gm,1,20,2020-07-14 20:18:12,0,,S_HB04,S_HB04
80,50.0,,1 kg,1,20,2020-07-14 20:19:05,0,,S_HB05,S_HB05
81,0.0,,,,0,2020-07-23 20:19:44,0,,s_fa002,S_FA002
82,0.0,,,,0,2020-07-23 20:19:35,0,,s_fa003,S_FA003
83,0.0,,,,0,2020-07-23 20:19:26,0,,s_fa004,S_FA004
84,0.0,,,,0,2020-07-23 20:19:19,0,,s_fa005,S_FA005
85,0.0,,,,0,2020-07-23 20:19:11,0,,s_fa009,S_FA009
86,0.0,,,,0,2020-07-23 20:19:04,0,,s_fa010,S_FA010
87,0.0,,,,0,2020-07-23 20:18:57,0,,s_fa011,S_FA011
88,0.0,,,,0,2020-07-23 20:18:51,0,,s_fa026,S_FA026
89,0.0,,,,0,2020-07-23 20:18:40,0,,s_fa035,S_FA035
94,0.0,,,,0,2020-07-23 20:18:17,0,,s_fa107,S_FA107
96,0.0,,,,1,2020-07-15 14:46:34,0,,s_fa112,S_FA112
97,0.0,,,,0,2020-07-23 20:18:05,0,,s_fa113,S_FA113
98,0.0,,,,0,2020-07-23 20:17:55,0,,s_fa115,S_FA115
99,0.0,,,,1,2020-07-15 14:52:09,0,,s_fa116,S_FA116
100,0.0,,,,1,2020-07-15 14:54:20,0,,s_fa117,S_FA117
101,0.0,,,,1,2020-07-15 14:56:05,0,,s_fa118,S_FA118
102,0.0,,,,0,2020-07-23 20:17:37,0,,s_fa119,S_FA119
103,0.0,,,,0,2020-07-23 20:17:19,0,,s_fa121,S_FA121
104,0.0,,,,0,2020-07-23 20:17:01,0,,s_fa122,S_FA122
105,0.0,,,,1,2020-07-15 15:04:24,0,,s_fa123,S_FA123
106,0.0,,,,0,2020-07-23 20:16:07,0,,s_fa126,S_FA126
107,0.0,,,,0,2020-07-23 20:15:54,0,,s_fa128,S_FA128
108,0.0,,,,0,2020-07-23 20:15:07,0,,s_fa134,S_FA134
109,0.0,,,,0,2020-07-23 20:14:38,0,,s_fa135,S_FA135
110,0.0,,,,0,2020-07-23 20:16:44,0,,s_fa124,S_FA124
111,0.0,,,,0,2020-07-23 20:14:24,0,,s_fa136,S_FA136
112,0.0,,,,0,2020-07-23 20:14:11,0,,s_fa137,S_FA137
119,0.0,,,,1,2020-07-15 17:36:49,0,,s_fa149,S_FA149
120,0.0,,,,1,2020-07-15 17:47:07,0,,s_fa150,S_FA150
122,0.0,,,,1,2020-07-15 17:53:16,0,,s_fa154,S_FA154
125,0.0,,,,1,2020-07-15 18:00:01,0,,s_fa157,S_FA157
127,0.0,,,,1,2020-07-15 18:21:22,0,,s_fa160,S_FA160
134,0.0,,,,1,2020-07-15 18:37:08,0,,s_fa171,S_FA171
139,0.0,,,,1,2020-07-15 18:47:02,0,,s_fa220,S_FA220
140,0.0,,,,1,2020-07-15 18:54:05,0,,s_fa226,S_FA226
141,0.0,,,,1,2020-07-15 18:55:37,0,,s_fa227,S_FA227
142,0.0,,,,1,2020-07-18 09:05:50,0,,s_pa0020,S_PA0020
143,0.0,,,,1,2020-07-18 09:07:23,0,,s_pa0022,S_PA0022
144,0.0,,,,1,2020-07-18 09:08:45,0,,s_pa0023,S_PA0023
145,0.0,,,,1,2020-07-18 09:09:55,0,,s_pa0026,S_PA0026
146,0.0,,,,1,2020-07-18 09:10:56,0,,s_pa0027,S_PA0027
147,0.0,,,,1,2020-07-18 09:12:25,0,,s_pa0030,S_PA0030
148,0.0,,,,1,2020-07-18 09:13:56,0,,s_pa0032,S_PA0032
149,0.0,,,,1,2020-07-18 09:15:27,0,,s_pa0033,S_PA0033
150,0.0,,,,1,2020-07-18 09:17:11,0,,s_pa0035,S_PA0035
151,0.0,,,,1,2020-07-18 09:18:28,0,,s_pa0036,S_PA0036
152,20.0,,5 kg,1,20,2020-07-18 18:36:18,0,,S_GR0003,S_GR0003
153,0.0,,50ml,1,10,2020-07-22 12:18:01,0,,S_BC0058,S_BC0058
154,0.0,,100ml,1,0,2020-07-22 12:17:47,0,,S_BC0059,S_BC0059
155,0.0,,500ml,1,0,2020-07-22 05:21:25,0,,S_BC0060,S_BC0060
156,0.0,,750ml,1,0,2020-07-22 05:21:09,0,,S_BC0061,S_BC0061
157,0.0,,,1,5,2020-07-22 12:17:23,0,,S_BC0062,S_BC0062
158,0.0,,50ml,1,10,2020-07-22 12:16:47,0,,S_BC0063,S_BC0063
159,0.0,,170ml,1,10,2020-07-22 12:16:01,0,,S_BC0064,S_BC0064
160,0.0,,170ml,1,0,2020-07-22 12:15:49,0,,S_BC0065,S_BC0065
161,0.0,,170ml,1,10,2020-07-22 12:15:24,0,,S_BC0066,S_BC0066
162,0.0,,170ml,1,0,2020-07-22 12:14:59,0,,S_BC0067,S_BC0067
163,0.0,,200ml,1,0,2020-07-22 12:14:04,0,,S_BC0068,S_BC0068
164,0.0,,200ml,1,0,2020-07-22 12:13:48,0,,S_BC0069,S_BC0069
165,0.0,,,1,5,2020-07-22 12:13:28,0,,S_BC0070,S_BC0070
166,0.0,,,1,0,2020-07-22 12:13:08,0,,S_BC0071,S_BC0071
167,0.0,,75gm,1,5,2020-07-22 12:12:42,0,,S_BC0072,S_BC0072
168,0.0,,75gm,1,0,2020-07-22 12:12:32,0,,S_BC0073,S_BC0073
169,0.0,,75gm,1,0,2020-07-22 12:12:21,0,,S_BC0074,S_BC0074
170,0.0,,75gm,1,5,2020-07-22 12:10:57,0,,S_BC0075,S_BC0075
171,0.0,,125gm,1,5,2020-07-22 12:10:43,0,,S_BC0076,S_BC0076
172,0.0,,125gm,1,0,2020-07-22 12:10:00,0,,S_BC0077,S_BC0077
173,0.0,,125gm,1,0,2020-07-22 12:10:22,0,,S_BC0078,S_BC0078
174,0.0,,500ml,1,0,2020-07-22 12:09:11,0,,S_HC0018,S_HC0018
175,0.0,,200gm,1,2,2020-07-22 12:08:30,0,,S_HC0019,S_HC0019
176,0.0,,400gm,1,2,2020-07-22 12:05:11,0,,S_HC0020,S_HC0020
177,0.0,,50gm,1,2,2020-07-22 12:03:43,0,,S_HC0021,S_HC0021
178,0.0,,50gm X2,1,5,2020-07-22 12:03:15,0,,S_HC0022,S_HC0022
179,0.0,,200gm,1,3,2020-07-22 12:02:36,0,,S_HC0023,S_HC0023
180,0.0,,400gm,1,0,2020-07-22 12:02:03,0,,S_HC0024,S_HC0024
181,0.0,,500ml,1,3,2020-07-22 12:01:14,0,,S_HC0025,S_HC0025
182,0.0,,500ml,1,3,2020-07-22 12:00:52,0,,S_HC0026,S_HC0026
183,0.0,,750ml,1,5,2020-07-22 12:00:01,0,,S_HC0027,S_HC0027
184,0.0,,1 L,1,3,2020-07-22 11:59:37,0,,S_HC0028,S_HC0028
185,0.0,,500ml,1,0,2020-07-22 11:58:04,0,,S_HC0029,S_HC0029
186,0.0,,500ml,1,0,2020-07-22 11:59:11,0,,S_HC0030,S_HC0030
187,0.0,,500ml,1,0,2020-07-22 11:58:44,0,,S_HC0031,S_HC0031
188,0.0,,500ml,1,0,2020-07-22 11:58:21,0,,S_HC0032,S_HC0032
189,0.0,,975ml,1,0,2020-07-22 11:57:26,0,,S_HC0033,S_HC0033
190,0.0,,975ml,1,5,2020-07-22 11:57:07,0,,S_HC0034,S_HC0034
191,0.0,,350ml,1,2,2020-07-22 11:56:28,0,,S_HC0035,S_HC0035
192,0.0,,350ml,1,5,2020-07-22 11:56:06,0,,S_HC0036,S_HC0036
193,0.0,,250ml,1,5,2020-07-22 11:55:41,0,,S_HC0037,S_HC0037
194,0.0,,500ml,1,10,2020-07-22 11:55:11,0,,S_HC0038,S_HC0038
195,50.0,,,,50,2020-07-23 18:14:39,0,,s_sf026,S_SF026
196,0.0,,,,50,2020-07-20 05:42:59,0,,s_sf027,S_SF027
197,0.0,,M,,50,2020-07-20 05:46:39,0,,s_sf028,S_SF028
198,0.0,,L,,50,2020-07-20 05:49:06,0,,s_sf029,S_SF029
199,0.0,,,,6,2020-07-20 21:28:31,0,,s_gr0053,S_GR0053
200,0.0,,,,6,2020-07-20 21:32:36,0,,s_gr0054,S_GR0054
201,0.0,,,,6,2020-07-20 21:36:32,0,,s_gr108,S_GR0108
202,0.0,,,,6,2020-07-20 21:38:39,0,,s_gr0055,S_GR0055
