product_code,title,price,slug,description,item_owner_id,sub_category_id
S-GR0003,PRAN Chinigura Rice (5 kg),620.0,S-GR0003,"PRAN Chinigura Rice 
Weight: 5 kg 
Brand: Pran",1,2
S_BC0024,Sepnil Natural Sanitizing Handwash - Marigold 200ml,90.0,s_bc0024,Sepnil Natural Sanitizing Handwash - Marigold 200ml,1,12
S_BC0026,Sepnil Natural Sanitizing Handwash - Tea Oil 200ml,90.0,s_bc0026,Sepnil Natural Sanitizing Handwash - Tea Oil 200ml,1,12
S_BC0028,Sepnil Fruity Sanitizing Hand Wash - Orange 200ml,95.0,s_bc0028,Sepnil Fruity Sanitizing Hand Wash - Orange,1,12
S_BC0029,Sepnil Fruity Sanitizing Hand Wash - Apple 200ml,95.0,s_bc0029,Sepnil Fruity Sanitizing Hand Wash - Apple,1,12
S_BC0031,Sepnil Instant Hand Sanitizer 50ml,90.0,s_bc0031,Sepnil Instant Hand Sanitizer 50ml,1,22
S_BC0032,Sepnil Instant Hand Sanitizer 100ml,150.0,s_bc0032,Sepnil Instant Hand Sanitizer,1,22
S_BC0033,Sepnil Instant Hand Sanitizer - with Pump 200ml,225.0,s_bc0033,Sepnil Instant Hand Sanitizer - with Pump,1,22
S_BC0058,Dettol Antiseptic Liquid 50ml Glass Bottle,38.0,S_BC0058,Dettol Antiseptic Liquid 50ml Glass Bottle,1,22
S_BC0059,Dettol Antiseptic Liquid 100ml Glass Bottle,52.0,S_BC0059,Dettol Antiseptic Liquid 100ml Glass Bottle,1,22
S_BC0060,Dettol Antiseptic Liquid 750ml Brown,233.0,S_BC0060,Dettol Antiseptic Liquid 750ml Brown,1,22
S_BC0061,Dettol Antiseptic Liquid Brown 5 Litre,1380.0,S_BC0061,Dettol Antiseptic Liquid Brown 5 Litre,1,22
S_BC0062,Dettol Antibacterial Wet Wipes Single Pack,70.0,S_BC0062,Dettol Antibacterial Wet Wipes Single Pack,1,22
S_BC0063,Dettol Instant Hand Sanitizer 50 ml,145.0,S_BC0063,Dettol Instant Hand Sanitizer 50 ml,1,22
S_BC0064,Dettol Handwash Refill 170ml (Cool),65.0,S_BC0064,Dettol Handwash Refill 170ml (Cool),1,12
S_BC0065,Dettol Handwash Refill 170ml  (AloeVera),65.0,S_BC0065,Dettol Handwash Refill 170ml  (AloeVera),1,12
S_BC0066,Dettol Handwash Refill 170ml  Reenergize,65.0,S_BC0066,Dettol Handwash Refill 170ml  Reenergize,1,12
S_BC0067,Dettol Handwash Refill 170ml  (Skincare),60.0,S_BC0067,Dettol Handwash Refill 170ml  (Skincare),1,12
S_BC0068,Dettol Handwash Pump 200ml (AloeVera),100.0,S_BC0068,Dettol Handwash Pump 200ml (AloeVera),1,12
S_BC0069,Dettol Handwash Pump 200ml (Skincare),95.0,S_BC0069,Dettol Handwash Pump 200ml (Skincare),1,12
S_BC0070,Dettol Soap 30gm (Original),10.0,S_BC0070,Dettol Soap 30gm (Original),1,9
S_BC0071,Dettol Soap 30gm (Skincare),10.0,S_BC0071,Dettol Soap 30gm (Skincare),1,9
S_BC0072,Dettol Soap 75gm (Original),40.0,S_BC0072,Dettol Soap 75gm (Original),1,9
S_BC0073,Dettol Soap 75gm ( Skincare),40.0,S_BC0073,Dettol Soap 75gm ( Skincare),1,9
S_BC0074,Dettol Soap 75gm (Cool),40.0,S_BC0074,Dettol Soap 75gm (Cool),1,9
S_BC0075,Dettol Soap Aloe Vera 75gm,38.0,S_BC0075,Dettol Soap Aloe Vera 75gm,1,9
S_BC0076,Dettol Soap 125gm (Original),58.0,S_BC0076,Dettol Soap 125gm (Original),1,9
S_BC0077,Dettol Soap 125gm (Skincare),58.0,S_BC0077,Dettol Soap 125gm (Skincare),1,9
S_BC0078,Dettol Soap 125gm (Cool),58.0,S_BC0078,Dettol Soap 125gm (Cool),1,9
S_BS0028,Ruchi Bar-B-Q Chanachur 150gm,35.0,s_bs0028,Ruchi Bar-B-Q Chanachur,1,14
S_BS0030,Ruchi Bar-B-Q Chanachur 350gm,65.0,s_bs0030,Ruchi Bar-B-Q Chanachur,1,14
S_BS0031,Ruchi Bar-B-Q Chanachur 600gm,100.0,s_bs0031,Ruchi Bar-B-Q Chanachur,1,14
S_BS0061,Chopstick Instant Noodles (Yummy Masala) 496gm,130.0,s_bs0061,Chopstick Instant Noodles (Yummy Masala),1,13
