id,sub_category_name,category_id
1,Organic Zone,3
2,Rice,3
3,Oil & Ghee,3
4,Salt & Spice,3
5,Dal,3
6,Sugar & Milk,3
7,Shemai & Suji,3
8,Ready Mix Foods,3
9,Bath,4
10,Facial & Skin Care,4
11,Shampoo,4
12,Handwash,4
13,Noodles and Macaroni,5
14,Local BreakFast & Snacks,5
15,Soup,5
16,Chips & Biscuits,5
17,Chocolate & Jam,5
18,Tea & Coffee,6
19,Soft Drinks,6
20,Juice & Water,6
21,Powder Drinks,6
22,Covid-19 Defence,2
23,Somikoron Special,1
24,Cow,7
25,Home Cleaning,8
26,Sauce & Chutney,5
27,কুষ্টিয়ার দেশি গরু,7
